lose oneself in,몰두하다/ 길을 잃다
lose sight of,놓치다/ 안보이다
lots of,많은
make A (out) of B,B를 A로 만들다
make a decision,결정을 내리다/ 결정하다
make a fool of,조롱하다
make a fortune,돈을 모으다
make a Hajj,하지를 하다/ 성지 순례를 하다
make a mistake,실수하다
make a point of ～ing,～을 습관으로 하다
make a prayer,기도하다/ 기도를 올리다
make a speech,연설하다
make a statement,서술하다/ 기술하다/ 설명하다
make a wish,소원을 빌다
make allowances for,～을 참작하다
make an effort,노력하다
make an offering,제물[공물]을 바치다
make away with,죽이다/ 제거하다
make believe,～체 하다
make both ends meet,수지(收支) 균형을 맞추다
make for,～으로 향해 가다/ 공격하다/ 기여하다
make fun of,비웃다/ 조롱하다
make good,성공하다/ 보상하다/ 수행하다
make haste,서두르다
make head or tail of,이해하다
make it a rule to,~하는 것을 규칙으로 하다
make light of,경시하다
make money,돈을 벌다
make much account of,～을 중시하다
make much of,중요시하다
make no difference to,상관없다
make noise,떠들다/ 소리를 내다
make one's way,앞으로 나아가다/ 성공하다
make oneself at home,편히 하다
make out,이해하다/ 성공하다/ 작성하다/ ～체 하다
make progress in,~에 진보하다
make room for,～에게 자리를 내주다
make sure,확인하다
make the best of,～을 잘 이용하다
make up for,보충하다/ 보상하다
make up one's mind,결심하다
make use of,～을 이용하다
manage to,가까스로 ～하다/ 이럭저럭 ～하다
manage to+do,가까스로 ~하다
matter little,중요하지 않다
may as well,~하는 편이 낫다
may well,~하는 것도 당연 하다
meet with,우연히 만나다
might as well ~ as,~하느니 ~ 하는 편이 낫다
mind ~ing,~하는 것을 꺼리다
mistake A for B,A를 B로 잘못 보다
more and more,점점 더
more often than not,흔히/ 대개
more or less,약/ 다소
more than anything else,무엇보다도
most of all,무엇보다도
move away,멀어지다/ 떠나가다
move to,이사하다
much more+명사,~은 말할 것도 없고
need not+do,~ 할 필요가 없다
neither A nor B,A도 B도 아니다
never ~ but+절,~하면 반드시 ~ 하다
never ~ without ~ing,~하면 반드시 ~ 하다
never fail to,반드시 ~ 하다
next time,다음에는
next to,~의 옆에
no better than,～과 다름없는
no less ~ than A,A와 마찬가지로 ~이다
no less than,자그마치/ ~만큼이나
no longer,이미 ～이 아닌
no matter how,비록 ~한다 해도
no matter what,아무리 ~이든/ ~일지라도/ 비록 ~한다 해도
no matter when,비록 ~한다 해도
no matter where,비록 ~한다 해도
no matter who,비록 ~한다 해도
no more than,겨우 ~밖에
none but+명사,단지 ~만
none the less,그럼에도 불구하고
not ~ any longer,이제 ~이 아니다
not ~ at all,전혀 ~이지 않다
not ~ because,not이 because 까지 부정
not A before,A 하지 않아 곧 ~하다
not A but B,A가 아니고 B인
not a few,적지 않은
not always,반드시 ～은 아니다
not less than,적어도
not more than,기껏해야
not only A but (also) B,A뿐만 아니라 B도
not so much A as B,A라기보다는 오히려 B
not to mention,～은 말할 것도 없이
not to say,～라고 할 정도는 아니지만
not to speak of,～은 말할 것도 없이
nothing but,겨우/ ～뿐
now and again(then),이따금
now that,이제 ～이니까
of consequence,중요한
of course,물론
of late,최근에
of necessity,필연적으로
of no use,쓸모없는
of one's own choice,자기가 좋아서
of service,도움이 되는
of use,유용한
off and on,간간이/ 때때로
off duty,비번(非番)의
on ~ing,~ 하자마자
on account of,～때문에
on and on,계속하여
on behalf of,～을 대표하여
on business,비즈니스로
on duty,당번(當番)의
on end,계속하여/ 똑바로
on foot,도보로
on good terms with,～와 사이가 좋은
on hand,보유하여
on no account,결코 ～이 아닌
on one’s way to,~로 가는 도중에
on one's way,도중에
on purpose,일부러/ 고의로
on the+신체 부분,신체 부분을
on the basis of,~을 기초로 해서
on the brink of,막 ～하려는 차에
on the contrary,그와는 반대로
on the ground of,～의 이유로
on the other hand,또 한편
on the point of,～하는 순간에
on the radio,라디오에서
on the side of,~의 편에 서서/ ~을 편들어
on the spot,그 자리에서/ 곧
on the verge of,막 ~하려는/ ~하기 직전의
on the whole,대체로
on time,정각에
